Entity ID,API/UWI,API/UWI List,Monthly Production Date,Monthly Oil,Monthly Gas,Monthly Water,Well Count,Days,Daily Avg Oil,Daily Avg Gas,Daily Avg Water,Reservoir,Well/Lease Name,Well Number,Operator Alias,Production Type,Production Status,Entity Type
129928897,42173373380000,421733733800,2/1/2017,21252,16485,33314,1,,759,588.75,1189.79,TREND AREA,CHEATHAM HOUSTON A,3H,PIONEER NATURAL RESOURCES COMPANY,OIL,ACTIVE,COM
129928897,42173373380000,421733733800,3/1/2017,29390,22185,46069,1,,948.06,715.65,1486.1,TREND AREA,CHEATHAM HOUSTON A,3H,PIONEER NATURAL RESOURCES COMPANY,OIL,ACTIVE,COM
129928897,42173373380000,421733733800,4/1/2017,26047,20484,40829,1,,868.23,682.8,1360.97,TREND AREA,CHEATHAM HOUSTON A,3H,PIONEER NATURAL RESOURCES COMPANY,OIL,ACTIVE,COM
129928897,42173373380000,421733733800,5/1/2017,23610,16780,36798,1,,761.61,541.29,1187.03,TREND AREA,CHEATHAM HOUSTON A,3H,PIONEER NATURAL RESOURCES COMPANY,OIL,ACTIVE,COM
129928897,42173373380000,421733733800,6/1/2017,7675,4977,12008,1,,255.83,165.9,400.27,TREND AREA,CHEATHAM HOUSTON A,3H,PIONEER NATURAL RESOURCES COMPANY,OIL,ACTIVE,COM
129928897,42173373380000,421733733800,7/1/2017,5431,2535,8573,1,,175.19,81.77,276.55,TREND AREA,CHEATHAM HOUSTON A,3H,PIONEER NATURAL RESOURCES COMPANY,OIL,ACTIVE,COM
129928897,42173373380000,421733733800,8/1/2017,4757,2195,7390,1,,153.45,70.81,238.39,TREND AREA,CHEATHAM HOUSTON A,3H,PIONEER NATURAL RESOURCES COMPANY,OIL,ACTIVE,COM
129928897,42173373380000,421733733800,9/1/2017,4233,1921,6480,1,,141.1,64.03,216,TREND AREA,CHEATHAM HOUSTON A,3H,PIONEER NATURAL RESOURCES COMPANY,OIL,ACTIVE,COM
129928897,42173373380000,421733733800,10/1/2017,4986,2162,7687,1,,160.84,69.74,247.97,TREND AREA,CHEATHAM HOUSTON A,3H,PIONEER NATURAL RESOURCES COMPANY,OIL,ACTIVE,COM
129928897,42173373380000,421733733800,11/1/2017,5152,2398,8038,1,,171.73,79.93,267.93,TREND AREA,CHEATHAM HOUSTON A,3H,PIONEER NATURAL RESOURCES COMPANY,OIL,ACTIVE,COM
129928897,42173373380000,421733733800,12/1/2017,5051,2311,7983,1,,162.94,74.55,257.52,TREND AREA,CHEATHAM HOUSTON A,3H,PIONEER NATURAL RESOURCES COMPANY,OIL,ACTIVE,COM
129928897,42173373380000,421733733800,1/1/2018,3890,2034,5190,1,,125.48,65.61,167.42,TREND AREA,CHEATHAM HOUSTON A,3H,PIONEER NATURAL RESOURCES COMPANY,OIL,ACTIVE,COM
129928897,42173373380000,421733733800,2/1/2018,2930,1963,3957,1,,104.64,70.11,141.32,TREND AREA,CHEATHAM HOUSTON A,3H,PIONEER NATURAL RESOURCES COMPANY,OIL,ACTIVE,COM
129928897,42173373380000,421733733800,3/1/2018,3417,1587,4669,1,,110.23,51.19,150.61,TREND AREA,CHEATHAM HOUSTON A,3H,PIONEER NATURAL RESOURCES COMPANY,OIL,ACTIVE,COM
129928897,42173373380000,421733733800,4/1/2018,2940,1667,4060,1,,98,55.57,135.33,TREND AREA,CHEATHAM HOUSTON A,3H,PIONEER NATURAL RESOURCES COMPANY,OIL,ACTIVE,COM
129928897,42173373380000,421733733800,5/1/2018,2743,1606,3826,1,,88.48,51.81,123.42,TREND AREA,CHEATHAM HOUSTON A,3H,PIONEER NATURAL RESOURCES COMPANY,OIL,ACTIVE,COM
129928897,42173373380000,421733733800,6/1/2018,2230,1083,3140,1,,74.33,36.1,104.67,TREND AREA,CHEATHAM HOUSTON A,3H,PIONEER NATURAL RESOURCES COMPANY,OIL,ACTIVE,COM
129928897,42173373380000,421733733800,7/1/2018,2360,1449,3353,1,,76.13,46.74,108.16,TREND AREA,CHEATHAM HOUSTON A,3H,PIONEER NATURAL RESOURCES COMPANY,OIL,ACTIVE,COM
129928897,42173373380000,421733733800,8/1/2018,2645,1768,3789,1,,85.32,57.03,122.23,TREND AREA,CHEATHAM HOUSTON A,3H,PIONEER NATURAL RESOURCES COMPANY,OIL,ACTIVE,COM
129928897,42173373380000,421733733800,9/1/2018,2496,1774,3604,1,,83.2,59.13,120.13,TREND AREA,CHEATHAM HOUSTON A,3H,PIONEER NATURAL RESOURCES COMPANY,OIL,ACTIVE,COM
129928897,42173373380000,421733733800,10/1/2018,2285,1458,3324,1,,73.71,47.03,107.23,TREND AREA,CHEATHAM HOUSTON A,3H,PIONEER NATURAL RESOURCES COMPANY,OIL,ACTIVE,COM
129928897,42173373380000,421733733800,11/1/2018,2076,1700,3042,1,,69.2,56.67,101.4,TREND AREA,CHEATHAM HOUSTON A,3H,PIONEER NATURAL RESOURCES COMPANY,OIL,ACTIVE,COM
129928897,42173373380000,421733733800,12/1/2018,2371,1876,3497,1,,76.48,60.52,112.81,TREND AREA,CHEATHAM HOUSTON A,3H,PIONEER NATURAL RESOURCES COMPANY,OIL,ACTIVE,COM
129928897,42173373380000,421733733800,1/1/2019,2413,1881,3582,1,,77.84,60.68,115.55,TREND AREA,CHEATHAM HOUSTON A,3H,PIONEER NATURAL RESOURCES COMPANY,OIL,ACTIVE,COM
129916958,42329409180000,423294091800,2/1/2017,31569,74440,105825,1,,1127.46,2658.57,3779.46,TREND AREA,TEXAS TEN Y PU,3705H,PIONEER NATURAL RESOURCES COMPANY,OIL,ACTIVE,COM
129916958,42329409180000,423294091800,3/1/2017,34391,76095,173190,1,,1109.39,2454.68,5586.77,TREND AREA,TEXAS TEN Y PU,3705H,PIONEER NATURAL RESOURCES COMPANY,OIL,ACTIVE,COM
129916958,42329409180000,423294091800,4/1/2017,40545,121708,231373,1,,1351.5,4056.93,7712.43,TREND AREA,TEXAS TEN Y PU,3705H,PIONEER NATURAL RESOURCES COMPANY,OIL,ACTIVE,COM
129916958,42329409180000,423294091800,5/1/2017,26702,86974,122551,1,,861.35,2805.61,3953.26,TREND AREA,TEXAS TEN Y PU,3705H,PIONEER NATURAL RESOURCES COMPANY,OIL,ACTIVE,COM
129916958,42329409180000,423294091800,6/1/2017,19655,69337,80897,1,,655.17,2311.23,2696.57,TREND AREA,TEXAS TEN Y PU,3705H,PIONEER NATURAL RESOURCES COMPANY,OIL,ACTIVE,COM
