API/UWI,Operator Alias,Operator Company Name (Beta),Operator (Reported),Operator Ticker (Beta),Well/Lease Name,Well Number,Entity Type,County/Parish,DI Basin,DI Play,DI Subplay,Reservoir,Production Type,Producing Status,Drill Type,Lease Number,First Prod Date,Last Prod Date,Cum Gas,Cum Oil,Cum BOE,Cum Water,Cum MMCFGE,Cum BCFGE,Daily Gas,Daily Oil,First Month Oil,First Month Gas,First Month Water,First 6 Oil,First 6 Gas,First 6 BOE,First 6 Water,First 12 Oil,First 12 Gas,First 12 BOE,First 12 MMCFGE,First 12 Water,First 24 Oil,First 24 Gas,First 24 BOE,First 24 MMCFGE,First 24 Water,First 60 Oil,First 60 Gas,First 60 BOE,First 60 Water,First 60 MMCFGE,Prac IP Oil Daily,Prac IP Gas Daily,Prac IP CFGED,Prac IP BOE,Latest Oil,Latest Gas,Latest Water,Prior 12 Oil,Prior 12 Gas,Prior 12 Water,Last Test Date,Last Flow Pressure,Last WHSIP,2nd Month GOR,Latest GOR,Cum GOR,Last 12 Yield,2nd Month Yield,Latest Yield,Peak Gas,Peak Gas Month No.,Peak Oil,Peak Oil Month No.,Peak BOE,Peak BOE Month No.,Peak MMCFGE,Peak MMCFGE Month No.,Upper Perforation,Lower Perforation,Gas Gravity,Oil Gravity,Completion Date,Well Count,Max Active Wells,Months Produced,Gas Gatherer,Oil Gatherer,Spud Date,Measured Depth (TD),True Vertical Depth,Gross Perforated Interval,Field,State,District,AAPG Geologic Province,Country,Section,Township,Range,Abstract,Block,Survey,OCS Area,PGC Area,Surface Latitude (WGS84),Surface Longitude (WGS84),Last 12 Oil,Last 12 Gas,Last 12 Water,Entity ID
42003463520000,PIONEER NATURAL RESOURCES COMPANY,PIONEER NATURAL RESOURCES,"PIONEER NATURAL RES. USA, INC.",PXD,"UNIVERSITY ""7-43""",22H,COM,ANDREWS (TX),MIDLAND,MIDLAND,,TREND AREA,OIL,ACTIVE,H,40532,2/1/2016,1/1/2019,140443,141262,164669,289147,988,1,22,42,10250,13383,23109,61817,79510,75069,146385,96751,111984,115415,692,201123,125864,132553,147956,888,247132,,,,,,493,770,3729065,622,1169,556,3918,29113,20569,46009,,,,1560,512.404,990,1951.584,640.6,2102.5,23867,2,15289,2,19267,2,116,2,9071,19243,,41.1,2/22/2016,1,1,36,"DCP OPERATING COMPANY, LP","PLAINS MARKETING, L.P.",12/12/2014,19441,,10172,SPRABERRY,TX,8,PERMIAN BASIN,USA,35,0,0,U210,7,UL,(N/A),P-440,32.3547586,-102.2514526,15398,7890,42015,129075594
42317398610000,PIONEER NATURAL RESOURCES COMPANY,PIONEER NATURAL RESOURCES,"PIONEER NATURAL RES. USA, INC.",PXD,SALE RANCH 21H,8H,COM,MARTIN (TX),MIDLAND,MIDLAND,,TREND AREA,OIL,ACTIVE,H,46550,4/1/2016,1/1/2019,507663,218782,303393,298314,1820,2,407,106,13673,11970,19504,102219,138233,125258,145813,141569,271406,186803,1121,199217,191461,375474,254040,1524,263086,,,,,,1267,1285,8883613,1481,2494,14684,3216,51657,123817,66000,,,,1010,4209.388,2320,237.564,986,169.8,43184,9,39262,2,45899,2,275,2,9538,16746,,41.1,4/25/2016,1,1,33,"WTG GAS PROCESSING, L.P.",SUNOCO PIPELINE L.P.,11/26/2014,16908,,7208,SPRABERRY,TX,8,PERMIAN BASIN,USA,21,0,0,222,37 T1N,T&P RR CO,(N/A),P-440,32.1963336,-101.954723,36621,154152,47220,129075792
42461400800000,PIONEER NATURAL RESOURCES COMPANY,PIONEER NATURAL RESOURCES,"PIONEER NATURAL RES. USA, INC.",PXD,XBC GIDDINGS ESTATE,1201H,COM,UPTON (TX),MIDLAND,MIDLAND,,TREND AREA,OIL,ACTIVE,H,16349,2/1/2016,12/1/2018,323346,179970,233861,547098,1403,1,204,81,3277,221,0,74739,103500,91989,194812,112115,167389,140013,840,313223,152916,254738,195372,1172,444673,,,,,,866,1409,6602387,1100,2580,6607,9248,43713,92422,138845,,,,1630,2522.448,1800,396.44,614.4,390.5,43676,2,26833,2,34112,2,205,2,9726,15927,,40,2/19/2016,1,1,35,TARGA PIPELINE MID-CONTINENT LLC,PLAINS PIPELINE L.P.,7/27/2015,16090,,6201,SPRABERRY,TX,07C,PERMIAN BASIN,USA,1,0,0,542,,THROCKMORTON CSL,(N/A),P-440,31.5074009,-101.9750816,29490,74387,111877,129540586
42461400790000,PIONEER NATURAL RESOURCES COMPANY,PIONEER NATURAL RESOURCES,"PIONEER NATURAL RES. USA, INC.",PXD,XBC GIDDINGS ESTATE,1200H,COM,UPTON (TX),MIDLAND,MIDLAND,,TREND AREA,OIL,ACTIVE,H,16349,2/1/2016,12/1/2018,359613,160309,220244,228763,1321,1,226,70,2942,120,0,67193,88215,81895,80874,100662,186461,131739,790,130029,136723,283335,183945,1104,185219,,,,,,777,765,5427645,905,2240,7442,3947,38691,103329,58214,,,,980,3211.725,2240,311.359,1015.7,301,28340,7,24090,2,28043,2,168,2,9676,15415,,40,2/26/2016,1,1,35,TARGA PIPELINE MID-CONTINENT LLC,PLAINS PIPELINE L.P.,8/24/2015,15580,,5739,SPRABERRY,TX,07C,PERMIAN BASIN,USA,1,0,0,542,,THROCKMORTON CSL,(N/A),P-440,31.5073684,-101.9752209,25722,82612,47540,129540884
42461400810000,PIONEER NATURAL RESOURCES COMPANY,PIONEER NATURAL RESOURCES,"PIONEER NATURAL RES. USA, INC.",PXD,XBC GIDDINGS ESTATE,1202H,COM,UPTON (TX),MIDLAND,MIDLAND,,TREND AREA,OIL,ACTIVE,H,16349,2/1/2016,12/1/2018,219567,145076,181671,487518,1090,1,145,66,2631,145,0,59911,67969,71239,172164,89902,110629,108340,650,276866,122947,170810,151415,908,394559,,,,,,695,926,5096355,849,2117,4739,8429,35366,63457,124125,,,,1330,2190.022,1510,456.616,750.3,446.7,28717,2,21545,2,26331,2,158,2,9624,15400,,40,2/22/2016,1,1,35,TARGA PIPELINE MID-CONTINENT LLC,PLAINS PIPELINE L.P.,7/6/2015,15539,,5776,SPRABERRY,TX,07C,PERMIAN BASIN,USA,1,0,0,542,,THROCKMORTON CSL,(N/A),P-440,31.5074335,-101.9749423,24113,52808,101486,129553640
42329402390000,PIONEER NATURAL RESOURCES COMPANY,PIONEER NATURAL RESOURCES,"PIONEER NATURAL RES. USA, INC.",PXD,"HUTT, DONALD L. FEE",1516H,COM,MIDLAND (TX),MIDLAND,MIDLAND,,TREND AREA,OIL,ACTIVE,H,6414,1/1/2016,1/1/2019,168666,177777,205888,178318,1235,1,31,50,24571,28348,33351,95422,107804,113389,123494,124595,136583,147359,884,144917,158161,156522,184248,1105,169217,,,,,,749,1061,5557483,926,1252,638,550,32748,18848,23211,,,,1420,630.812,950,1585.259,706.2,1962.4,30775,2,24571,1,29296,1,176,1,9220,19092,,43.3,1/19/2016,1,1,37,TARGA PL MID-CONT WESTTEX LLC,CENTURION PIPELINE L.P.,8/31/2015,19239,,9872,SPRABERRY,TX,8,PERMIAN BASIN,USA,15,0,0,94,38 T3S,T&P RR CO,(N/A),P-440,31.8552962,-101.9174158,17422,10990,8052,129567394
42329402380000,PIONEER NATURAL RESOURCES COMPANY,PIONEER NATURAL RESOURCES,"PIONEER NATURAL RES. USA, INC.",PXD,"HUTT, DONALD L. FEE",1512H,COM,MIDLAND (TX),MIDLAND,MIDLAND,,TREND AREA,OIL,ACTIVE,H,6414,1/1/2016,1/1/2019,193345,191830,224054,278109,1344,1,35,53,26513,32496,33831,102966,123578,123562,175879,134445,156568,160540,963,216972,170664,179426,200568,1203,262485,,,,,,809,1217,6068241,1011,1351,731,892,35337,21607,43282,,,,1500,670.071,1010,1492.379,664.7,1848.2,35279,2,26513,1,31929,1,192,1,9166,19038,,43.3,1/21/2016,1,1,37,TARGA PL MID-CONT WESTTEX LLC,CENTURION PIPELINE L.P.,8/25/2015,19220,,9872,SPRABERRY,TX,8,PERMIAN BASIN,USA,15,0,0,94,38 T3S,T&P RR CO,(N/A),P-440,31.8552632,-101.9175554,18798,12596,13747,129575014
42461400820000,PIONEER NATURAL RESOURCES COMPANY,PIONEER NATURAL RESOURCES,"PIONEER NATURAL RES. USA, INC.",PXD,XBC GIDDINGS ESTATE,1203H,COM,UPTON (TX),MIDLAND,MIDLAND,,TREND AREA,OIL,ACTIVE,H,16349,3/1/2016,12/1/2018,258015,147607,190609,347207,1144,1,159,62,22509,34646,37776,67644,92440,83051,145674,96960,142304,120677,724,217984,128481,209026,163319,980,295433,,,,,,429,498,3073500,512,1952,5104,4966,36120,74026,86862,,,,1160,2543.437,1750,393.169,862.6,382.4,34646,1,22509,1,28283,1,170,1,9686,16510,,40,3/4/2016,1,1,34,TARGA PIPELINE MID-CONTINENT LLC,PLAINS PIPELINE L.P.,7/30/2015,16667,,6824,SPRABERRY,TX,07C,PERMIAN BASIN,USA,1,0,0,542,,THROCKMORTON CSL,(N/A),P-440,31.5062734,-101.9642837,22803,57998,62478,129575052
42173371890000,PIONEER NATURAL RESOURCES COMPANY,PIONEER NATURAL RESOURCES,"PIONEER NATURAL RES. USA, INC.",PXD,FLANAGAN 14-LLOYD B,9H,COM,GLASSCOCK (TX),MIDLAND,MIDLAND,,TREND AREA,OIL,ACTIVE,H,46618,2/1/2016,1/1/2019,95952,349067,365059,465525,2190,2,80,127,6149,3442,16943,74627,30413,79696,145150,211960,43674,219239,1315,271057,302658,65205,313526,1881,395897,,,,,,410,225,2685161,448,2831,2612,4497,90698,21531,124840,,,,550,662.522,270,1509.383,1826.1,1083.8,6962,2,26281,12,26556,12,159,12,8099,17827,,40.6,2/10/2016,1,1,35,TARGA PL MID-CONT WESTTEX LLC,SUNOCO PIPELINE L.P.,8/29/2015,17935,,9728,SPRABERRY,TX,8,PERMIAN BASIN,USA,14,0,0,1011,36 T2S,T&P RR CO,(N/A),P-440,32.0279323,-101.7577002,46409,30747,69628,129575095
42173371900000,PIONEER NATURAL RESOURCES COMPANY,PIONEER NATURAL RESOURCES,"PIONEER NATURAL RES. USA, INC.",PXD,FLANAGAN 14-LLOYD B,10H,COM,GLASSCOCK (TX),MIDLAND,MIDLAND,,TREND AREA,OIL,ACTIVE,H,46618,2/1/2016,1/1/2019,378048,128203,191211,481201,1147,1,302,62,7313,4367,17178,59048,57542,68638,147803,83617,157181,109814,659,278287,105409,261572,149004,894,408683,,,,,,488,285,3211548,535,1507,9895,4665,21792,104391,130396,,,,580,5109.941,2950,195.697,1712.1,152.3,19440,12,15121,2,16593,2,100,2,8054,18150,,40.6,2/9/2016,1,1,35,TARGA PL MID-CONT WESTTEX LLC,SUNOCO PIPELINE L.P.,9/14/2015,18214,,10096,SPRABERRY,TX,8,PERMIAN BASIN,USA,14,0,0,1011,36 T2S,T&P RR CO,(N/A),P-440,32.0279008,-101.7578406,22794,116476,72518,129575096
