API,Year,Month,Liquid,Gas,Water
A_33025030830000,2017,Dec,13498.0,11432.0,14246
A_33025030830000,2018,Jan,30177.0,29771.0,28398
A_33025030830000,2018,Feb,21177.0,22549.0,23169
A_33025030820000,2017,Dec,5512.0,4982.0,4433
A_33025030820000,2018,Jan,0.0,3.0,0
A_33025030820000,2018,Feb,34290.0,39676.0,27521
A_33025030810000,2017,Dec,14632.0,12754.0,16716
A_33025030810000,2018,Jan,26075.0,25569.0,33795
A_33025030810000,2018,Feb,22487.0,24513.0,38947
A_33025030790000,2017,Mar,2700.0,3497.0,2250
A_33025030790000,2017,Apr,1299.0,27484.0,23178
A_33025030790000,2017,May,17576.0,16675.0,16430
A_33025030790000,2017,Jun,28641.0,34741.0,26953
A_33025030790000,2017,Jul,20435.0,19488.0,18530
A_33025030790000,2017,Aug,7445.0,7410.0,7456
A_33025030790000,2017,Sep,4193.0,5286.0,3558
A_33025030790000,2017,Nov,4484.0,3298.0,13648
A_33025030790000,2017,Dec,3402.0,3589.0,9140
A_33025030790000,2018,Jan,5610.0,5781.0,9798
A_33025030790000,2018,Feb,4695.0,5256.0,6905
A_33025030800000,2017,Mar,14105.0,4942.0,11545
A_33025030800000,2017,Apr,59645.0,37740.0,21078
A_33025030800000,2017,May,38771.0,42094.0,22575
A_33025030800000,2017,Jun,29610.0,35830.0,16548
A_33025030800000,2017,Jul,22244.0,20668.0,12769
A_33025030800000,2017,Aug,21892.0,23395.0,12798
A_33025030800000,2017,Sep,4418.0,5542.0,2760
A_33025030800000,2017,Oct,44.0,2728.0,1960
A_33025030800000,2017,Dec,15194.0,14357.0,17799
A_33025030800000,2018,Jan,23511.0,23106.0,32031
A_33025030800000,2018,Feb,3043.0,2722.0,5236
A_33025032370000,2018,Feb,106.0,1454.0,21
A_33025032360000,2018,Feb,123.0,1055.0,70
A_33025030400000,2017,Apr,1611.0,172.0,4307
A_33025030400000,2017,May,22745.0,27869.0,34289
A_33025030400000,2017,Jun,28863.0,33028.0,48358
A_33025030400000,2017,Jul,27508.0,34339.0,41959
A_33025030400000,2017,Aug,18597.0,21216.0,27869
A_33025030400000,2017,Sep,29491.0,37420.0,44049
A_33025030400000,2017,Oct,25255.0,31505.0,34587
A_33025030400000,2017,Nov,136.0,162.0,192
A_33025030400000,2017,Dec,10061.0,11417.0,14830
A_33025030400000,2018,Jan,22501.0,29533.0,30534
A_33025030400000,2018,Feb,16948.0,21102.0,24040
A_33025026740000,2017,Jul,1792.0,78.0,4740
A_33025026740000,2017,Aug,10027.0,9142.0,12611
A_33025026740000,2017,Sep,25551.0,28244.0,41383
A_33025026740000,2017,Oct,21259.0,20216.0,27608
A_33025026740000,2017,Nov,14614.0,13266.0,19807
A_33025026740000,2017,Dec,12966.0,10780.0,11795
A_33025026740000,2018,Jan,15352.0,16249.0,11413
A_33025026740000,2018,Feb,18646.0,19257.0,17739
A_33025030420000,2017,Dec,4.0,,214
A_33025030410000,2017,Apr,2816.0,1408.0,15300
A_33025030410000,2017,May,24505.0,24523.0,40935
A_33025030410000,2017,Jun,30947.0,30491.0,44668
A_33025030410000,2017,Jul,30572.0,32503.0,42241
A_33025030410000,2017,Aug,24139.0,26185.0,32048
A_33025030410000,2017,Sep,15438.0,16490.0,19842
A_33025030410000,2017,Oct,22507.0,24335.0,25561
A_33025030410000,2017,Nov,24776.0,27533.0,25970
A_33025030410000,2017,Dec,23108.0,26532.0,24059
A_33025030410000,2018,Jan,4897.0,6392.0,5290
A_33025026690000,2017,Mar,46.0,169.0,93
A_33025026690000,2017,Apr,5513.0,4502.0,6933
A_33025026690000,2017,May,36004.0,35664.0,34764
A_33025026690000,2017,Jun,27921.0,26863.0,29695
A_33025026690000,2017,Jul,15392.0,15557.0,19493
A_33025026690000,2017,Aug,24718.0,26563.0,24679
A_33025026690000,2017,Sep,21192.0,22353.0,20073
A_33025026690000,2017,Oct,17908.0,19178.0,17524
A_33025026690000,2017,Nov,17860.0,23049.0,15432
A_33025026690000,2017,Dec,17223.0,27874.0,15258
A_33025026690000,2018,Jan,11145.0,19793.0,10789
A_33025026690000,2018,Feb,6982.0,9314.0,8697
A_33025029930000,2017,Jun,261.0,0.0,787
A_33025029930000,2017,Jul,4706.0,4947.0,11798
A_33025029930000,2017,Aug,19468.0,20837.0,35863
A_33025029930000,2017,Sep,11676.0,14227.0,23902
A_33025029930000,2017,Oct,16142.0,19099.0,22481
A_33025029930000,2017,Nov,9077.0,10513.0,11134
A_33025029930000,2017,Dec,15426.0,17699.0,35285
A_33025029930000,2018,Jan,18838.0,25755.0,30482
A_33025029930000,2018,Feb,17429.0,23937.0,17320
A_33025026680000,2017,Mar,88.0,153.0,652
A_33025026680000,2017,Apr,7145.0,5417.0,11556
A_33025026680000,2017,May,27097.0,29273.0,48928
A_33025026680000,2017,Jun,27106.0,26662.0,35546
A_33025026680000,2017,Jul,22685.0,21787.0,27482
A_33025026680000,2017,Aug,19958.0,19985.0,22338
A_33025026680000,2017,Sep,23128.0,24413.0,23879
A_33025026680000,2017,Oct,24065.0,25991.0,21077
A_33025026680000,2017,Nov,20713.0,23870.0,17133
A_33025026680000,2017,Dec,17215.0,25549.0,11446
A_33025026680000,2018,Jan,8761.0,10906.0,7353
A_33025026680000,2018,Feb,17000.0,19605.0,17413
A_33025031680000,2017,Jun,1127.0,276.0,5293
A_33025031680000,2017,Aug,35.0,3.0,3
A_33025031680000,2017,Sep,278.0,24.0,795
A_33025031680000,2017,Oct,0.0,0.0,27
A_33025031680000,2017,Nov,1302.0,1182.0,2259
A_33025031680000,2017,Dec,11289.0,23114.0,15009
A_33025031680000,2018,Jan,24538.0,31290.0,29409
A_33025031680000,2018,Feb,23144.0,27718.0,29284
A_33025029690000,2018,Jan,5903.0,5731.0,50313
A_33025029690000,2018,Feb,7183.0,7150.0,48438
A_33025031790000,2017,Oct,481.0,,800
A_33025031790000,2018,Jan,13606.0,13414.0,21626
A_33025031790000,2018,Feb,18514.0,19650.0,35474
A_33025029670000,2016,Jul,2944.0,1490.0,8953
A_33025029670000,2016,Aug,6805.0,5133.0,22595
A_33025029670000,2016,Sep,1282.0,1309.0,1381
A_33025029670000,2016,Oct,20963.0,19552.0,33522
A_33025029670000,2016,Nov,20546.0,20510.0,24415
A_33025029670000,2016,Dec,19257.0,20998.0,21684
A_33025029670000,2017,Jan,15314.0,19161.0,12049
A_33025029670000,2017,Feb,10252.0,9782.0,7189
A_33025029670000,2017,Mar,13326.0,24944.0,9297
A_33025029670000,2017,Apr,8599.0,18245.0,8175
A_33025029670000,2017,May,8323.0,21233.0,8234
A_33025029670000,2017,Jun,6873.0,17620.0,6563
A_33025029670000,2017,Jul,4446.0,10265.0,4368
A_33025029670000,2017,Aug,2564.0,3384.0,1995
A_33025029670000,2017,Sep,3347.0,4853.0,3347
A_33025029670000,2017,Oct,2885.0,4592.0,1989
A_33025029670000,2017,Dec,4097.0,4451.0,3912
A_33025029670000,2018,Jan,3880.0,5454.0,2761
A_33025029670000,2018,Feb,2741.0,3693.0,2346
A_33025027030000,2017,Dec,19.0,,93
A_33025031800000,2017,Oct,110.0,,2692
A_33025031800000,2018,Jan,10858.0,10879.0,23611
A_33025031800000,2018,Feb,15958.0,17596.0,35725
A_33025029950000,2017,Jun,0.0,0.0,3148
A_33025029950000,2017,Jul,1901.0,271.0,5914
A_33025029950000,2017,Aug,33264.0,33145.0,51363
A_33025029950000,2017,Sep,22351.0,27299.0,34827
A_33025029950000,2017,Oct,18550.0,21854.0,23933
A_33025029950000,2017,Nov,1350.0,1512.0,2851
A_33025029950000,2017,Dec,25030.0,26335.0,42472
A_33025029950000,2018,Jan,22479.0,30923.0,29091
A_33025029950000,2018,Feb,14026.0,18950.0,22670
A_33025026750000,2017,Jul,1878.0,98.0,4221
A_33025026750000,2017,Aug,16347.0,14075.0,22126
A_33025026750000,2017,Sep,24813.0,27294.0,32910
A_33025026750000,2017,Oct,19030.0,19184.0,24614
A_33025026750000,2017,Nov,14503.0,14621.0,24289
A_33025026750000,2017,Dec,8319.0,8585.0,14754
A_33025026750000,2018,Jan,23264.0,28067.0,25787
A_33025026750000,2018,Feb,11490.0,12561.0,13946
A_33025026760000,2017,Jul,4468.0,4372.0,9071
A_33025026760000,2017,Aug,29310.0,28159.0,42339
A_33025026760000,2017,Sep,16687.0,17119.0,27671
A_33025026760000,2017,Oct,12505.0,12380.0,22813
A_33025026760000,2017,Nov,14664.0,14568.0,25031
A_33025026760000,2017,Dec,5243.0,4794.0,5420
A_33025026760000,2018,Jan,17357.0,19087.0,26359
A_33025026760000,2018,Feb,14430.0,15356.0,22600
A_33025029940000,2017,Jun,477.0,216.0,1945
A_33025029940000,2017,Jul,4432.0,3830.0,11914
A_33025029940000,2017,Aug,32320.0,29773.0,43349
A_33025029940000,2017,Sep,21848.0,25941.0,29167
A_33025029940000,2017,Oct,17485.0,20846.0,19147
A_33025029940000,2017,Nov,20762.0,25133.0,29790
A_33025029940000,2017,Dec,6552.0,7622.0,8926
A_33025029940000,2018,Jan,17695.0,24932.0,22319
A_33025029940000,2018,Feb,143.0,247.0,159
A_33025026700000,2017,Feb,998.0,623.0,2616
A_33025026700000,2017,Mar,3753.0,539.0,1699
A_33025026700000,2017,Apr,6712.0,5166.0,9032
A_33025026700000,2017,May,28421.0,27347.0,34178
A_33025026700000,2017,Jun,22947.0,22542.0,28659
A_33025026700000,2017,Jul,22655.0,24541.0,24359
A_33025026700000,2017,Aug,17652.0,14093.0,21124
A_33025026700000,2017,Sep,23114.0,23025.0,23308
A_33025026700000,2017,Oct,23857.0,25327.0,23854
A_33025026700000,2017,Nov,23651.0,28966.0,22584
A_33025026700000,2017,Dec,21065.0,28016.0,18936
A_33025026700000,2018,Jan,13746.0,22417.0,13032
A_33025026700000,2018,Feb,10163.0,13463.0,10101
A_33025031560000,2017,Jun,2131.0,114.0,2729
A_33025031560000,2017,Aug,23516.0,23219.0,51344
A_33025031560000,2017,Sep,36162.0,44086.0,63785
A_33025031560000,2017,Oct,25832.0,30627.0,41202
A_33025031560000,2017,Nov,25617.0,27429.0,37831
A_33025031560000,2017,Dec,5943.0,5830.0,8752
A_33025031560000,2018,Jan,17981.0,21835.0,30576
A_33025031560000,2018,Feb,16248.0,20030.0,20754
A_33025029680000,2018,Jan,8370.0,8312.0,48628
A_33025029680000,2018,Feb,10136.0,11053.0,53185
A_33025029660000,2016,Jul,756.0,500.0,2323
A_33025029660000,2016,Aug,2239.0,1588.0,5746
A_33025029660000,2016,Sep,2149.0,2275.0,8818
A_33025029660000,2016,Oct,14660.0,13390.0,33857
A_33025029660000,2016,Nov,11433.0,11535.0,19014
A_33025029660000,2017,Jan,8143.0,7357.0,15460
A_33025029660000,2017,Feb,11268.0,13503.0,12499
A_33025029660000,2017,Mar,10860.0,21598.0,12576
A_33025029660000,2017,Apr,243.0,667.0,359
A_33025029660000,2017,May,2830.0,964.0,6506
A_33025029660000,2017,Jun,3444.0,1741.0,6190
A_33025029660000,2017,Jul,3624.0,2724.0,5859
A_33025029660000,2017,Aug,3100.0,3984.0,4898
A_33025029660000,2017,Sep,2694.0,4011.0,4564
A_33025029660000,2017,Oct,2526.0,4834.0,4049
A_33025029660000,2017,Dec,2999.0,3575.0,7797
A_33025029660000,2018,Jan,3126.0,5031.0,5646
A_33025029660000,2018,Feb,260.0,261.0,1509
A_33025025600000,2015,Aug,1747.0,1144.0,2742
A_33025025600000,2015,Sep,27078.0,31692.0,17185
A_33025025600000,2015,Oct,13040.0,15546.0,4083
A_33025025600000,2015,Nov,10346.0,12338.0,3183
A_33025025600000,2015,Dec,8029.0,7268.0,3313
A_33025025600000,2016,Jan,6916.0,6466.0,3351
A_33025025600000,2016,Feb,6477.0,6063.0,3624
A_33025025600000,2016,Mar,516.0,1944.0,412
A_33025025600000,2016,Apr,6781.0,5204.0,3670
A_33025025600000,2016,May,8679.0,8521.0,4664
A_33025025600000,2016,Jun,4877.0,4574.0,2665
A_33025025600000,2016,Jul,4923.0,4477.0,2601
A_33025025600000,2016,Aug,4243.0,4620.0,2747
A_33025025600000,2016,Sep,1747.0,1745.0,1283
A_33025025600000,2016,Oct,4295.0,4393.0,2549
A_33025025600000,2016,Nov,4354.0,6468.0,2288
A_33025025600000,2016,Dec,5017.0,5271.0,2754
A_33025025600000,2017,Jan,4084.0,4003.0,2843
A_33025025600000,2017,Feb,3968.0,4498.0,2530
A_33025025600000,2017,Mar,4902.0,4822.0,2429
A_33025025600000,2017,Apr,3339.0,3736.0,1933
A_33025025600000,2017,May,3836.0,4006.0,2238
A_33025025600000,2017,Jun,3792.0,3521.0,1814
A_33025025600000,2017,Jul,3435.0,4373.0,1941
A_33025025600000,2017,Aug,3505.0,4128.0,1864
A_33025025600000,2017,Sep,3363.0,3657.0,1819
A_33025025600000,2017,Oct,3148.0,3257.0,1721
A_33025025600000,2017,Nov,2924.0,3341.0,1612
A_33025025600000,2017,Dec,3210.0,3504.0,1536
A_33025025600000,2018,Jan,3084.0,3456.0,1709
A_33025025600000,2018,Feb,2695.0,2944.0,1546
A_33025026650000,2015,Apr,1297.0,2224.0,0
A_33025026650000,2015,May,17138.0,17400.0,17310
