API,Primary Product,Well Name,Surface Latitude,Surface Longitude,Total Proppant (lbs),Total Fluid (gals),Depth Total Driller,Lat Len Gross Perf Intvl,Hole Direction,Operator Name,County Name,Province State Name,Status Current Name,Formation Producing Name,Depth True Vertical,Reserve Category,Month,Year,TypeCurveArea
A_33025005950000,O,JENSEN 1-5H,47.489042700000006,-102.8194632,1000000,1000000,17370,6246.0,HORIZONTAL,CONTINENTAL RESOURCES  INC.,DUNN ,ND,ACTIVE,MIDDLE BAKKEN ,10000.0,1PDP,SEP,2006,Default
A_33025006110000,O,BRANDVIK 14-24H,47.532242100000005,-102.86346040000001,1000000,1000000,18037,6586.0,HORIZONTAL,CONTINENTAL RESOURCES  INC.,DUNN ,ND,ACTIVE,MIDDLE BAKKEN ,10000.0,1PDP,FEB,2007,Default
A_33025006130000,O,CANDEE 11-9H,47.4872649,-102.7997652,1000000,1000000,17705,6515.0,HORIZONTAL,CONTINENTAL RESOURCES  INC.,DUNN ,ND,ACTIVE,MIDDLE BAKKEN ,10000.0,1PDP,JUN,2007,Default
A_33025006140000,O,STATE WEYDAHL 44-36H,47.5030565,-102.84534609999999,1000000,1000000,17740,6418.0,HORIZONTAL,CONTINENTAL RESOURCES  INC.,DUNN ,ND,ACTIVE,MIDDLE BAKKEN ,10000.0,1PDP,APR,2007,Default
A_33025006180000,O,MEDICINE HOLE 14-27H,47.430890500000004,-102.90526940000001,1000000,1000000,21070,9361.0,HORIZONTAL,CONTINENTAL RESOURCES  INC.,DUNN ,ND,ACTIVE,MIDDLE BAKKEN ,10000.0,1PDP,MAY,2007,Default
A_33025006170000,O,DVIRNAK 14-6H,47.4888513,-102.8412859,1000000,1000000,17720,6408.0,HORIZONTAL,CONTINENTAL RESOURCES  INC.,DUNN ,ND,ACTIVE,MIDDLE BAKKEN ,10000.0,1PDP,JUL,2007,Default
A_33025006300000,O,RYDEN 21-24H,47.4576686,-102.85481829999999,1000000,1000000,20440,8775.0,HORIZONTAL,CONTINENTAL RESOURCES  INC.,DUNN ,ND,ACTIVE,MIDDLE BAKKEN ,10000.0,1PDP,AUG,2007,Default
A_33025006320000,O,CARUS 24-28H,47.5177652,-102.92266690000001,1000000,1000000,20905,8893.0,HORIZONTAL,CONTINENTAL RESOURCES  INC.,DUNN ,ND,ACTIVE,MIDDLE BAKKEN ,10000.0,1PDP,AUG,2007,Default
A_33025006310000,O,CCU CORRAL CREEK 34-33H,47.5026575,-102.7895087,1000000,1000000,20620,9006.0,HORIZONTAL,BURLINGTON RESOURCES OIL & GAS COMPANY LP,DUNN ,ND,ACTIVE,MIDDLE BAKKEN ,10000.0,1PDP,SEP,2007,Default
A_33025006450000,O,PLETAN 1-18H,47.4729629,-102.83832290000001,1000000,1000000,20012,8635.0,HORIZONTAL,CONTINENTAL RESOURCES  INC.,DUNN ,ND,ACTIVE,MIDDLE BAKKEN ,10000.0,1PDP,FEB,2008,Default
A_33025006690000,O,CCU PRAIRIE ROSE 24-31H,47.5028368,-102.8371848,1000000,1000000,20540,8818.0,HORIZONTAL,BURLINGTON RESOURCES OIL & GAS COMPANY LP,DUNN ,ND,ACTIVE,MIDDLE BAKKEN ,10000.0,1PDP,DEC,2007,Default
A_33025006780000,O,MEADOWLARK 11-6H,47.414736600000005,-102.83842840000001,1000000,1000000,20545,8965.0,HORIZONTAL,CONTINENTAL RESOURCES  INC.,DUNN ,ND,ACTIVE,MIDDLE BAKKEN ,10000.0,1PDP,JAN,2008,Default
A_33025006680000,O,BANG 1-33H,47.5158468,-102.9235191,1000000,1000000,20819,9119.0,HORIZONTAL,CONTINENTAL RESOURCES  INC.,DUNN ,ND,ACTIVE,MIDDLE BAKKEN ,10000.0,1PDP,MAR,2008,Default
A_33025007230000,O,WHITMAN 11-34H,47.515203899999996,-102.9061458,1000000,1000000,21389,9289.0,HORIZONTAL,CONTINENTAL RESOURCES  INC.,DUNN ,ND,ACTIVE,MIDDLE BAKKEN ,10000.0,1PDP,APR,2008,Default
A_33025007300000,O,BONNEVILLE 41-23H,47.4581092,-102.8692997,1000000,1000000,21170,9416.0,HORIZONTAL,CONTINENTAL RESOURCES  INC.,DUNN ,ND,ACTIVE,MIDDLE BAKKEN ,10000.0,1PDP,APR,2008,Default
